*dataset: 
*location : F 4
*reackey: P P --> CHARGED X
*obskey: DATA/MC
*qual: RATIO : DATA/EPOS : DATA/PYTHIA : DATA/EPOS : DATA/PYTHIA  : 
*qual: ETARAP :  -0.8 - 0.8
*qual: RE: P P --> CHARGED X
*qual: SQRT(S) : 5020.0 GeV :  5020.0 GeV : 2760.0 GeV : 2760.0 GeV 
*yheader: DATA / MC 
*xheader: PT IN GEV
*data: x : y : y : y : y 
 1.60  TO 1.80 ; 1.102826 +- 3.7702e-04 (DSYS=2.1158e-02); 1.015078 +- 3.7820e-04 (DSYS=1.9474e-02); 1.148089 +- 6.9715e-04 (DSYS=4.9609e-02); 1.103485 +- 6.9965e-04 (DSYS=4.7682e-02);
 1.80  TO 2.00 ; 1.118235 +- 4.5216e-04 (DSYS=2.2812e-02); 1.017680 +- 4.5338e-04 (DSYS=2.0760e-02); 1.171803 +- 8.4703e-04 (DSYS=5.0430e-02); 1.109841 +- 8.4951e-04 (DSYS=4.7763e-02);
 2.00  TO 2.20 ; 1.118230 +- 5.4479e-04 (DSYS=2.3692e-02); 1.015779 +- 5.4620e-04 (DSYS=2.1522e-02); 1.180666 +- 1.0208e-03 (DSYS=5.2383e-02); 1.114731 +- 1.0237e-03 (DSYS=4.9458e-02);
 2.20  TO 2.40 ; 1.113797 +- 6.4404e-04 (DSYS=2.3606e-02); 1.016692 +- 6.4586e-04 (DSYS=2.1548e-02); 1.185666 +- 1.2198e-03 (DSYS=5.0134e-02); 1.124136 +- 1.2235e-03 (DSYS=4.7533e-02);
 2.40  TO 2.60 ; 1.103258 +- 7.5679e-04 (DSYS=2.3910e-02); 1.016586 +- 7.5926e-04 (DSYS=2.2032e-02); 1.179848 +- 1.4470e-03 (DSYS=4.6218e-02); 1.130084 +- 1.4523e-03 (DSYS=4.4269e-02);
 2.60  TO 2.80 ; 1.095762 +- 8.8345e-04 (DSYS=2.4075e-02); 1.020800 +- 8.8679e-04 (DSYS=2.2428e-02); 1.163823 +- 1.7099e-03 (DSYS=4.3873e-02); 1.128469 +- 1.7172e-03 (DSYS=4.2540e-02);
 2.80  TO 3.00 ; 1.085038 +- 1.0265e-03 (DSYS=2.3580e-02); 1.022213 +- 1.0309e-03 (DSYS=2.2215e-02); 1.156092 +- 2.0012e-03 (DSYS=4.3767e-02); 1.138639 +- 2.0115e-03 (DSYS=4.3107e-02);
 3.00  TO 3.20 ; 1.076278 +- 1.1857e-03 (DSYS=2.3715e-02); 1.026188 +- 1.1914e-03 (DSYS=2.2611e-02); 1.143728 +- 2.3303e-03 (DSYS=4.6493e-02); 1.139673 +- 2.3438e-03 (DSYS=4.6328e-02);
 3.20  TO 3.60 ; 1.061864 +- 1.0159e-03 (DSYS=2.3168e-02); 1.025444 +- 1.0216e-03 (DSYS=2.2374e-02); 1.125986 +- 2.0349e-03 (DSYS=4.3434e-02); 1.144960 +- 2.0489e-03 (DSYS=4.4166e-02);
 3.60  TO 4.00 ; 1.053327 +- 1.3134e-03 (DSYS=2.2118e-02); 1.032703 +- 1.3218e-03 (DSYS=2.1685e-02); 1.092914 +- 2.6666e-03 (DSYS=4.5891e-02); 1.139770 +- 2.6886e-03 (DSYS=4.7858e-02);
 4.00  TO 5.00 ; 1.043691 +- 1.2195e-03 (DSYS=2.1607e-02); 1.035515 +- 1.2280e-03 (DSYS=2.1438e-02); 1.055640 +- 2.5228e-03 (DSYS=4.1769e-02); 1.129703 +- 2.5471e-03 (DSYS=4.4699e-02);
 5.00  TO 6.00 ; 1.020466 +- 2.0254e-03 (DSYS=1.8719e-02); 1.019177 +- 2.0404e-03 (DSYS=1.8695e-02); 0.996475 +- 4.2985e-03 (DSYS=3.6733e-02); 1.105967 +- 4.3475e-03 (DSYS=4.0769e-02);
 6.00  TO 8.00 ; 1.007417 +- 2.5579e-03 (DSYS=1.7212e-02); 0.996699 +- 2.5757e-03 (DSYS=1.7029e-02); 0.945274 +- 5.5661e-03 (DSYS=3.6156e-02); 1.071175 +- 5.6338e-03 (DSYS=4.0972e-02);
 8.00  TO 10.00; 0.970762 +- 4.9904e-03 (DSYS=1.8628e-02); 0.961768 +- 5.0246e-03 (DSYS=1.8456e-02); 0.855810 +- 1.1175e-02 (DSYS=3.1115e-02); 1.005932 +- 1.1325e-02 (DSYS=3.6573e-02);
 10.00 TO 13.00; 0.937237 +- 7.5501e-03 (DSYS=2.1574e-02); 0.949314 +- 7.6090e-03 (DSYS=2.1852e-02); 0.841289 +- 1.7150e-02 (DSYS=3.0108e-02); 0.998677 +- 1.7390e-02 (DSYS=3.5741e-02);
 13.00 TO 20.00; 0.925939 +- 1.1509e-02 (DSYS=3.2463e-02); 0.957131 +- 1.1610e-02 (DSYS=3.3557e-02); 0.789503 +- 2.7796e-02 (DSYS=3.2932e-02); 0.946787 +- 2.8179e-02 (DSYS=3.9493e-02);
 20.00 TO 30.00; 0.916484 +- 2.9286e-02 (DSYS=3.8606e-02); 0.913052 +- 2.9491e-02 (DSYS=3.8461e-02); 0.893582 +- 7.2003e-02 (DSYS=3.5568e-02); 0.984051 +- 7.2759e-02 (DSYS=3.9169e-02);
 30.00 TO 50.00; 1.036473 +- 6.8202e-02 (DSYS=4.6241e-02); 0.849413 +- 6.8064e-02 (DSYS=3.7895e-02); 0.991831 +- 1.8945e-01 (DSYS=5.0583e-02); 0.846273 +- 1.8902e-01 (DSYS=4.3160e-02);
*dataend
