*dataset: 
*dscomment: Additional systematic error for pp data: +3.0 pct -3.0 pct
Additional systematic error for PBPB 0-5 pct data: +0.08 pct -0.08 pct
Additional systematic error for PBPB 5-10 pct data: +0.24 pct -0.24 pct
Additional systematic error for PBPB 10-20 pct data: +0.46 pct -0.46 pct
Additional systematic error for PBPB 20-30 pct data: +0.81 pct -0.81 pct
Additional systematic error for PBPB 30-40 pct data: +1.26 pct -1.26 pct
Additional systematic error for PBPB 40-50 pct data: +1.86 pct -1.86 pct
Additional systematic error for PBPB 50-60 pct data: +2.64 pct -2.64 pct
Additional systematic error for PBPB 60-70 pct data: +3.67 pct -3.67 pct
Additional systematic error for PBPB 70-80 pct data: +5.01 pct -5.01 pct
*location : F 5
*reackey: P P --> CHARGED X : PB PB --> CHARGED X
*obskey: SPECTRA RATIOS
*qual: CENT : - : 0-5 pct : 5-10 pct : 10-20 pct : 20-30 pct : 30-40 pct : 40-50 pct : 50-60 pct : 60-70 pct : 70-80 pct : 
*qual: ETARAP :  -0.8 - 0.8
*qual: RE: P P --> CHARGED X : PB PB --> CHARGED X
*yheader: RATIO OF SPECTRA (5020 GEV / 2760 GEV)
*xheader: PT IN GEV
*data: x : y : y : y : y : y : y : y : y : y : y 
0.70  TO 0.75 ; 1.179180 +- 5.8655e-04 (DSYS=4.8466e-02); 1.215224 +- 3.2876e-04 (DSYS=3.1506e-02); 1.213733 +- 3.7879e-04 (DSYS=3.2719e-02); 1.217671 +- 3.0286e-04 (DSYS=3.2886e-02); 1.226757 +- 3.6621e-04 (DSYS=3.4584e-02); 1.236035 +- 4.4990e-04 (DSYS=3.4888e-02); 1.249629 +- 5.5725e-04 (DSYS=3.5609e-02); 1.264774 +- 7.2605e-04 (DSYS=3.4552e-02); 1.285171 +- 1.0225e-03 (DSYS=3.4346e-02); 1.310090 +- 1.5545e-03 (DSYS=3.4830e-02);
0.75  TO 0.80 ; 1.186059 +- 6.3894e-04 (DSYS=4.8799e-02); 1.218879 +- 3.5221e-04 (DSYS=3.0932e-02); 1.217179 +- 4.0575e-04 (DSYS=3.1895e-02); 1.221625 +- 3.2488e-04 (DSYS=3.1950e-02); 1.231012 +- 3.9321e-04 (DSYS=3.3791e-02); 1.241096 +- 4.8353e-04 (DSYS=3.3798e-02); 1.253770 +- 5.9776e-04 (DSYS=3.4261e-02); 1.269174 +- 7.8288e-04 (DSYS=3.3627e-02); 1.287436 +- 1.1020e-03 (DSYS=3.3294e-02); 1.314263 +- 1.6747e-03 (DSYS=3.3808e-02);
0.80  TO 0.85 ; 1.196315 +- 6.9701e-04 (DSYS=4.9442e-02); 1.226657 +- 3.7839e-04 (DSYS=3.0930e-02); 1.225373 +- 4.3614e-04 (DSYS=3.1088e-02); 1.229526 +- 3.4999e-04 (DSYS=3.1301e-02); 1.239412 +- 4.2317e-04 (DSYS=3.2407e-02); 1.250337 +- 5.2095e-04 (DSYS=3.3708e-02); 1.262250 +- 6.4472e-04 (DSYS=3.3364e-02); 1.279552 +- 8.4582e-04 (DSYS=3.3708e-02); 1.300359 +- 1.1974e-03 (DSYS=3.3187e-02); 1.325089 +- 1.8204e-03 (DSYS=3.3004e-02);
0.85  TO 0.90 ; 1.206070 +- 7.5811e-04 (DSYS=5.2783e-02); 1.235005 +- 4.0792e-04 (DSYS=2.9201e-02); 1.233340 +- 4.7087e-04 (DSYS=3.0088e-02); 1.237307 +- 3.7616e-04 (DSYS=2.9894e-02); 1.248494 +- 4.5708e-04 (DSYS=3.1442e-02); 1.259660 +- 5.6410e-04 (DSYS=3.1823e-02); 1.272008 +- 6.9631e-04 (DSYS=3.2239e-02); 1.290686 +- 9.1652e-04 (DSYS=3.2231e-02); 1.311134 +- 1.2920e-03 (DSYS=3.1257e-02); 1.335979 +- 1.9741e-03 (DSYS=3.1675e-02);
0.90  TO 0.95 ; 1.218156 +- 8.2413e-04 (DSYS=5.7296e-02); 1.241906 +- 4.3876e-04 (DSYS=2.8132e-02); 1.240679 +- 5.0894e-04 (DSYS=2.8282e-02); 1.246043 +- 4.0796e-04 (DSYS=2.8536e-02); 1.257054 +- 4.9320e-04 (DSYS=2.9707e-02); 1.268349 +- 6.0787e-04 (DSYS=2.9867e-02); 1.282663 +- 7.5338e-04 (DSYS=2.9864e-02); 1.300482 +- 9.8947e-04 (DSYS=3.1171e-02); 1.320645 +- 1.3995e-03 (DSYS=2.9539e-02); 1.347642 +- 2.1482e-03 (DSYS=2.9839e-02);
0.95  TO 1.00 ; 1.230880 +- 8.8750e-04 (DSYS=5.2917e-02); 1.247878 +- 4.6586e-04 (DSYS=2.9731e-02); 1.247728 +- 5.4178e-04 (DSYS=2.9743e-02); 1.251071 +- 4.3239e-04 (DSYS=3.0232e-02); 1.262406 +- 5.2471e-04 (DSYS=3.1783e-02); 1.274168 +- 6.4692e-04 (DSYS=3.2076e-02); 1.287292 +- 7.9913e-04 (DSYS=3.2135e-02); 1.307190 +- 1.0532e-03 (DSYS=3.2010e-02); 1.326735 +- 1.4859e-03 (DSYS=3.1558e-02); 1.352598 +- 2.2958e-03 (DSYS=3.1692e-02);
1.00  TO 1.10 ; 1.251843 +- 6.9324e-04 (DSYS=5.4537e-02); 1.263139 +- 3.5925e-04 (DSYS=3.0746e-02); 1.262247 +- 4.1766e-04 (DSYS=3.1536e-02); 1.266792 +- 3.3298e-04 (DSYS=3.1830e-02); 1.279094 +- 4.0478e-04 (DSYS=3.3901e-02); 1.290092 +- 4.9946e-04 (DSYS=3.2946e-02); 1.303304 +- 6.1617e-04 (DSYS=3.4417e-02); 1.323453 +- 8.1448e-04 (DSYS=3.4475e-02); 1.342652 +- 1.1535e-03 (DSYS=3.3458e-02); 1.369301 +- 1.7739e-03 (DSYS=3.3930e-02);
1.10  TO 1.20 ; 1.271019 +- 7.8175e-04 (DSYS=5.5963e-02); 1.278725 +- 4.0028e-04 (DSYS=3.1531e-02); 1.277967 +- 4.6660e-04 (DSYS=3.2742e-02); 1.282618 +- 3.7177e-04 (DSYS=3.2389e-02); 1.293491 +- 4.4987e-04 (DSYS=3.3823e-02); 1.307387 +- 5.5763e-04 (DSYS=3.3818e-02); 1.320990 +- 6.9053e-04 (DSYS=3.4879e-02); 1.339414 +- 9.1199e-04 (DSYS=3.4084e-02); 1.362658 +- 1.3062e-03 (DSYS=3.4108e-02); 1.392588 +- 2.0105e-03 (DSYS=3.4545e-02);
1.20  TO 1.40 ; 1.297665 +- 6.5581e-04 (DSYS=6.0229e-02); 1.297452 +- 2.8625e-04 (DSYS=3.5195e-02); 1.295447 +- 3.2720e-04 (DSYS=3.6742e-02); 1.300078 +- 2.6385e-04 (DSYS=3.5795e-02); 1.312406 +- 3.2291e-04 (DSYS=3.6722e-02); 1.325088 +- 4.0410e-04 (DSYS=3.6359e-02); 1.339849 +- 5.1279e-04 (DSYS=3.6999e-02); 1.359586 +- 6.9066e-04 (DSYS=3.7028e-02); 1.382262 +- 9.9750e-04 (DSYS=3.7489e-02); 1.412003 +- 1.5586e-03 (DSYS=3.8029e-02);
1.40  TO 1.60 ; 1.336006 +- 8.2936e-04 (DSYS=6.2849e-02); 1.326412 +- 3.4777e-04 (DSYS=4.0029e-02); 1.323450 +- 3.9728e-04 (DSYS=3.9857e-02); 1.328331 +- 3.2077e-04 (DSYS=3.9177e-02); 1.340875 +- 3.9224e-04 (DSYS=3.9887e-02); 1.356455 +- 4.9406e-04 (DSYS=3.9348e-02); 1.371596 +- 6.2793e-04 (DSYS=4.0687e-02); 1.394762 +- 8.5529e-04 (DSYS=3.9560e-02); 1.418199 +- 1.2400e-03 (DSYS=4.0221e-02); 1.444693 +- 1.9291e-03 (DSYS=4.0761e-02);
