*dataset: 
*dscomment: Additional systematic error for PBPB 0-5 pct data: +3.9 pct -3.9 pct
Additional systematic error for PBPB 5-10 pct data: +4.1 pct -4.1 pct
Additional systematic error for PBPB 10-20 pct data: +4.3 pct -4.3 pct
Additional systematic error for PBPB 20-30 pct data: +4.0 pct -4.0 pct
Additional systematic error for PBPB 30-40 pct data: +4.2 pct -4.2 pct
Additional systematic error for PBPB 40-50 pct data: +4.9 pct -4.9 pct
Additional systematic error for PBPB 50-60 pct data: +4.8 pct -4.8 pct
Additional systematic error for PBPB 60-70 pct data: +5.5 pct -5.5 pct
Additional systematic error for PBPB 70-80 pct data: +5.9 pct -5.9 pct
*location : F 6
*reackey: PB PB --> CHARGED X
*obskey: RAA
*qual: CENT : 0-5 pct : 5-10 pct : 10-20 pct : 20-30 pct : 30-40 pct : 40-50 pct : 50-60 pct : 60-70 pct : 70-80 pct : 
*qual: ETARAP :  -0.8 - 0.8
*qual: RE: P P --> CHARGED X
*qual: RE: PB PB --> CHARGED X
*qual: SQRT(S)/NUCLEON : 5020.0 GeV 
*yheader: RAA
*xheader: PT IN GEV
*data: x : y : y : y : y : y : y : y : y : y  
0.70  TO 0.75 ; 0.309417 +- 9.2408e-05 (DSYS=6.3135e-03); 0.319028 +- 1.0016e-04 (DSYS=6.9679e-03); 0.339910 +- 9.9316e-05 (DSYS=7.3158e-03); 0.377379 +- 1.1663e-04 (DSYS=8.2442e-03); 0.423492 +- 1.4135e-04 (DSYS=8.9939e-03); 0.483872 +- 1.7211e-04 (DSYS=1.0573e-02); 0.554158 +- 2.2211e-04 (DSYS=1.1615e-02); 0.635909 +- 3.1662e-04 (DSYS=1.3536e-02); 0.717613 +- 4.9446e-04 (DSYS=1.5281e-02);
0.75  TO 0.80 ; 0.319690 +- 1.0286e-04 (DSYS=6.5368e-03); 0.329755 +- 1.1150e-04 (DSYS=7.0057e-03); 0.351216 +- 1.1066e-04 (DSYS=7.3512e-03); 0.389555 +- 1.2977e-04 (DSYS=8.3022e-03); 0.436530 +- 1.5668e-04 (DSYS=9.0154e-03); 0.496987 +- 1.9016e-04 (DSYS=1.0449e-02); 0.566952 +- 2.4436e-04 (DSYS=1.1648e-02); 0.646838 +- 3.4668e-04 (DSYS=1.3524e-02); 0.727149 +- 5.3968e-04 (DSYS=1.5175e-02);
0.80  TO 0.85 ; 0.329650 +- 1.1407e-04 (DSYS=6.7911e-03); 0.340265 +- 1.2366e-04 (DSYS=6.9950e-03); 0.362278 +- 1.2294e-04 (DSYS=7.3162e-03); 0.401477 +- 1.4394e-04 (DSYS=8.0554e-03); 0.449153 +- 1.7347e-04 (DSYS=9.2968e-03); 0.509405 +- 2.0968e-04 (DSYS=1.0473e-02); 0.578977 +- 2.6822e-04 (DSYS=1.1920e-02); 0.657728 +- 3.7851e-04 (DSYS=1.3717e-02); 0.734812 +- 5.8683e-04 (DSYS=1.5068e-02);
0.85  TO 0.90 ; 0.339250 +- 1.2617e-04 (DSYS=6.5123e-03); 0.350011 +- 1.3677e-04 (DSYS=6.8049e-03); 0.372836 +- 1.3604e-04 (DSYS=6.9812e-03); 0.412790 +- 1.5907e-04 (DSYS=7.9056e-03); 0.460880 +- 1.9150e-04 (DSYS=8.7286e-03); 0.521615 +- 2.3038e-04 (DSYS=1.0054e-02); 0.590739 +- 2.9318e-04 (DSYS=1.1279e-02); 0.667910 +- 4.1208e-04 (DSYS=1.2871e-02); 0.743054 +- 6.3779e-04 (DSYS=1.4291e-02);
0.90  TO 0.95 ; 0.347694 +- 1.3865e-04 (DSYS=6.3698e-03); 0.358787 +- 1.5064e-04 (DSYS=6.3890e-03); 0.382161 +- 1.4983e-04 (DSYS=6.6412e-03); 0.423111 +- 1.7490e-04 (DSYS=7.4287e-03); 0.471469 +- 2.0998e-04 (DSYS=8.1406e-03); 0.532115 +- 2.5182e-04 (DSYS=9.3540e-03); 0.600819 +- 3.1942e-04 (DSYS=1.0848e-02); 0.676472 +- 4.4684e-04 (DSYS=1.2113e-02); 0.748556 +- 6.8951e-04 (DSYS=1.3445e-02);
0.95  TO 1.00 ; 0.355908 +- 1.5057e-04 (DSYS=6.6611e-03); 0.367823 +- 1.6364e-04 (DSYS=6.5347e-03); 0.391544 +- 1.6291e-04 (DSYS=6.8861e-03); 0.432958 +- 1.9007e-04 (DSYS=7.8525e-03); 0.481655 +- 2.2803e-04 (DSYS=8.4191e-03); 0.542086 +- 2.7209e-04 (DSYS=9.7181e-03); 0.609625 +- 3.4360e-04 (DSYS=1.0809e-02); 0.683472 +- 4.7820e-04 (DSYS=1.2528e-02); 0.753820 +- 7.3659e-04 (DSYS=1.3677e-02);
1.00  TO 1.10 ; 0.366619 +- 1.1821e-04 (DSYS=6.9848e-03); 0.379214 +- 1.2868e-04 (DSYS=7.0665e-03); 0.404026 +- 1.2827e-04 (DSYS=7.3851e-03); 0.446058 +- 1.4942e-04 (DSYS=8.2409e-03); 0.494823 +- 1.7843e-04 (DSYS=8.5771e-03); 0.555028 +- 2.1239e-04 (DSYS=1.0267e-02); 0.621188 +- 2.6667e-04 (DSYS=1.1330e-02); 0.691934 +- 3.6899e-04 (DSYS=1.3119e-02); 0.759304 +- 5.6422e-04 (DSYS=1.4413e-02);
1.10  TO 1.20 ; 0.380310 +- 1.3503e-04 (DSYS=7.2987e-03); 0.393704 +- 1.4717e-04 (DSYS=7.4652e-03); 0.419587 +- 1.4687e-04 (DSYS=7.4793e-03); 0.462238 +- 1.7069e-04 (DSYS=8.3696e-03); 0.511547 +- 2.0345e-04 (DSYS=8.8187e-03); 0.570911 +- 2.4043e-04 (DSYS=1.0371e-02); 0.634784 +- 2.9976e-04 (DSYS=1.1136e-02); 0.702920 +- 4.1308e-04 (DSYS=1.3194e-02); 0.767927 +- 6.2864e-04 (DSYS=1.4418e-02);
1.20  TO 1.40 ; 0.396452 +- 1.0967e-04 (DSYS=8.3948e-03); 0.410829 +- 1.1768e-04 (DSYS=8.5763e-03); 0.438088 +- 1.1952e-04 (DSYS=8.7026e-03); 0.482398 +- 1.3736e-04 (DSYS=9.5158e-03); 0.531823 +- 1.6134e-04 (DSYS=9.8747e-03); 0.589744 +- 1.9129e-04 (DSYS=1.1263e-02); 0.651063 +- 2.3881e-04 (DSYS=1.2253e-02); 0.714972 +- 3.2601e-04 (DSYS=1.4827e-02); 0.773681 +- 4.9081e-04 (DSYS=1.5948e-02);
1.40  TO 1.60 ; 0.413034 +- 1.3815e-04 (DSYS=1.0009e-02); 0.428626 +- 1.4817e-04 (DSYS=9.8593e-03); 0.457144 +- 1.5096e-04 (DSYS=1.0152e-02); 0.502987 +- 1.7296e-04 (DSYS=1.0833e-02); 0.552907 +- 2.0215e-04 (DSYS=1.1334e-02); 0.609531 +- 2.3849e-04 (DSYS=1.2802e-02); 0.668627 +- 2.9582e-04 (DSYS=1.3719e-02); 0.728098 +- 4.0101e-04 (DSYS=1.6229e-02); 0.782830 +- 6.0087e-04 (DSYS=1.7431e-02);
